vibration;inclination;humidity;precipitation;output
58.4;46.01;0.65;0;0
57.2;47.78;0.65;0;0
57.1;40.31;0.76;0;0
56.5;47.35;0.6;0;0
56.1;34;0.49;0;0
55.7;32.77;0.76;0;0
55.1;49.76;0.65;0;0
54.9;36.97;0.77;0;0
54.9;38.33;0.75;0;0
54.6;38.86;0.76;0;0
53.8;36.08;0.55;0;0
53.7;46.28;0.6;0;0
53.1;40.68;0.54;0;0
52.9;43.54;0.54;0;0
52.2;37.55;0.76;0;0
52.1;55.05;0.58;0;0
50.3;42.49;0.65;0;0
50.3;57.07;0.58;0;0
50;42.95;0.65;0;0
49.9;29.84;0.77;0;0
43.5;32.98;0.77;0;0
43.4;60.84;0.6;0;0
41.8;47.35;0.65;0;0
41;44.88;0.65;0;0
40.4;53.94;0.58;0;0
40.2;42.23;0.65;0;0
39.9;52.4;0.58;0;0
38.7;55;0.62;0;0
38.6;39.56;0.54;0;0
37.1;40.37;0.54;0;0
36.7;44.99;0.6;0;0
34;31.81;0.77;0;0
33.4;39.94;0.65;0;0
28;57.72;0.59;0;0
27.4;41.82;0.54;0;0
27.2;28.02;0.77;0;0
26.2;54.44;0.58;0;0
26.1;32.48;0.75;0;0
25.9;44.32;0.54;0;0
25.9;38.89;0.51;0;0
25.1;55.19;0.58;0;0
24.8;44.15;0.65;0;0
24;35.26;0.76;0;0
23.8;41.11;0.65;0;0
22.6;61.89;0.6;0;0
21;47.14;0.65;0;0
18.9;36.52;0.78;0;0
18.3;43.05;0.65;0;0
17.3;43.74;0.54;0;0
16.6;42.22;0.66;0;0
15.9;36.85;0.77;0;0
15.7;37.88;0.77;0;0
13.8;42.77;0.65;0;0
13.5;42.84;0.65;0;0
12.9;32.69;0.76;0;0
12.4;34.01;0.78;0;0
10.9;26.14;0.78;0;0
9;32.67;0.76;0;0
6.9;41.86;0.54;0;0
5.6;42.02;0.54;0;0
5.5;44.46;0.54;0;0
4.5;54.79;0.58;0;0
4.1;41.88;0.54;0;0
4;32.54;0.76;0;0
3.2;44.16;0.65;0;0
2.2;32.47;0.76;0;0
1.6;32.57;0.76;0;0
160;34.83;0.45;15.3;1
160;34.83;0.45;15.3;1
269.9;34.83;0.45;15.3;1
272.1;34.83;0.45;15.3;1
1273.8;55.99;0.47;14.45;1
494.7;34.83;0.49;13.6;1
564.4;48.24;0.51;12.75;1
175.6;50.8;0.52;11.9;1
200.8;34.83;0.53;11.05;1
222.1;53.35;0.55;10.2;1
168.6;54.04;0.56;9.35;1
257.5;40.44;0.57;8.5;1
160;34.83;0.56;7.65;1
495.6;34.83;0.57;7.65;1
160;34.83;0.56;6.8;1
204.7;34.83;0.56;5.95;1
305.4;34.83;0.56;5.1;1
